statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,durindx,diff_in_days,diff_in_deaths,total_battle_dths
220,70,5,5,1862,2,5,1867,1863,1,3,1,3,3.0,8000.0,12000.0,1,1737,-4000.0,20000.0
220,70,5,5,1862,2,5,1867,1864,1,3,1,3,3.0,8000.0,12000.0,2,1737,-4000.0,20000.0
220,70,5,5,1862,2,5,1867,1865,1,3,1,3,3.0,8000.0,12000.0,6,1737,-4000.0,20000.0
220,70,5,5,1862,2,5,1867,1866,1,3,1,3,3.0,8000.0,12000.0,3,1737,-4000.0,20000.0
220,70,5,5,1862,2,5,1867,1867,1,3,1,3,3.0,8000.0,12000.0,5,1737,-4000.0,20000.0
100,130,12,6,1863,12,6,1863,1863,3,1,3,1,1.0,300.0,700.0,1,0,-400.0,1000.0
130,100,12,6,1863,12,6,1863,1863,1,3,1,3,3.0,700.0,300.0,1,0,400.0,1000.0
255,390,2,1,1864,7,20,1864,1864,1,3,1,3,1.0,1048.0,2933.0,1,170,-1885.0,3981.0
390,255,2,1,1864,7,20,1864,1864,3,1,3,1,3.0,2933.0,1048.0,1,170,1885.0,3981.0
300,390,2,1,1864,7,20,1864,1864,1,3,1,3,1.0,500.0,2933.0,1,170,-2433.0,3433.0
390,300,2,1,1864,7,20,1864,1864,3,1,3,1,3.0,2933.0,500.0,1,170,2433.0,3433.0
140,150,12,23,1864,3,1,1870,1864,3,1,3,1,1.0,100000.0,200000.0,1,1894,-100000.0,300000.0
140,150,12,23,1864,3,1,1870,1865,3,1,3,1,1.0,100000.0,200000.0,7,1894,-100000.0,300000.0
140,150,12,23,1864,3,1,1870,1866,3,1,3,1,1.0,100000.0,200000.0,6,1894,-100000.0,300000.0
140,150,12,23,1864,3,1,1870,1867,3,1,3,1,1.0,100000.0,200000.0,4,1894,-100000.0,300000.0
140,150,12,23,1864,3,1,1870,1868,3,1,3,1,1.0,100000.0,200000.0,3,1894,-100000.0,300000.0
140,150,12,23,1864,3,1,1870,1869,3,1,3,1,1.0,100000.0,200000.0,2,1894,-100000.0,300000.0
140,150,12,23,1864,3,1,1870,1870,3,1,3,1,1.0,100000.0,200000.0,5,1894,-100000.0,300000.0
150,140,12,23,1864,3,1,1870,1864,1,3,1,3,3.0,200000.0,100000.0,1,1894,100000.0,300000.0
150,140,12,23,1864,3,1,1870,1865,1,3,1,3,3.0,200000.0,100000.0,5,1894,100000.0,300000.0
150,140,12,23,1864,3,1,1870,1866,1,3,1,3,3.0,200000.0,100000.0,4,1894,100000.0,300000.0
150,140,12,23,1864,3,1,1870,1867,1,3,1,3,3.0,200000.0,100000.0,3,1894,100000.0,300000.0
150,140,12,23,1864,3,1,1870,1868,1,3,1,3,3.0,200000.0,100000.0,2,1894,100000.0,300000.0
150,140,12,23,1864,3,1,1870,1869,1,3,1,3,3.0,200000.0,100000.0,7,1894,100000.0,300000.0
150,140,12,23,1864,3,1,1870,1870,1,3,1,3,3.0,200000.0,100000.0,6,1894,100000.0,300000.0
150,160,4,13,1865,3,1,1870,1865,1,4,1,3,3.0,200000.0,10000.0,5,1783,190000.0,210000.0
150,160,4,13,1865,3,1,1870,1866,1,4,1,3,3.0,200000.0,10000.0,4,1783,190000.0,210000.0
150,160,4,13,1865,3,1,1870,1867,1,4,1,3,3.0,200000.0,10000.0,1,1783,190000.0,210000.0
150,160,4,13,1865,3,1,1870,1868,1,4,1,3,3.0,200000.0,10000.0,3,1783,190000.0,210000.0
150,160,4,13,1865,3,1,1870,1869,1,4,1,3,3.0,200000.0,10000.0,6,1783,190000.0,210000.0
150,160,4,13,1865,3,1,1870,1870,1,4,1,3,3.0,200000.0,10000.0,2,1783,190000.0,210000.0
160,150,4,13,1865,3,1,1870,1865,4,1,3,1,1.0,10000.0,200000.0,6,1783,-190000.0,210000.0
160,150,4,13,1865,3,1,1870,1866,4,1,3,1,1.0,10000.0,200000.0,5,1783,-190000.0,210000.0
160,150,4,13,1865,3,1,1870,1867,4,1,3,1,1.0,10000.0,200000.0,2,1783,-190000.0,210000.0
160,150,4,13,1865,3,1,1870,1868,4,1,3,1,1.0,10000.0,200000.0,1,1783,-190000.0,210000.0
160,150,4,13,1865,3,1,1870,1869,4,1,3,1,1.0,10000.0,200000.0,3,1783,-190000.0,210000.0
160,150,4,13,1865,3,1,1870,1870,4,1,3,1,1.0,10000.0,200000.0,4,1783,-190000.0,210000.0
135,230,1,14,1866,5,9,1866,1866,4,1,3,1,1.0,600.0,300.0,1,115,300.0,900.0
230,135,1,14,1866,5,9,1866,1866,1,4,1,3,3.0,300.0,600.0,1,115,-300.0,900.0
155,230,11,26,1865,5,9,1866,1865,3,1,1,3,1.0,100.0,300.0,2,164,-200.0,400.0
155,230,11,26,1865,5,9,1866,1866,3,1,1,3,1.0,100.0,300.0,1,164,-200.0,400.0
230,155,11,26,1865,5,9,1866,1865,1,3,3,1,3.0,300.0,100.0,2,164,200.0,400.0
230,155,11,26,1865,5,9,1866,1866,1,3,3,1,3.0,300.0,100.0,1,164,200.0,400.0
240,255,6,27,1866,7,3,1866,1866,3,1,3,1,3.0,500.0,10100.0,1,6,-9600.0,10600.0
255,240,6,27,1866,7,3,1866,1866,1,3,1,3,1.0,10100.0,500.0,1,6,9600.0,10600.0
240,280,6,27,1866,7,3,1866,1866,3,2,3,1,3.0,500.0,100.0,1,6,400.0,600.0
